Spec. symbol,Program zkratka,Obor zkratka,Typ studia,Forma,Datum a čas zal. přihl.,Datum podání,Spr. poplatek - vypočteno,Spr. poplatek - zaplaceno,Zaplaceno,Datum úhrady,Dadtum zkompl. Zaplaceno,Datum zkompl. Adresy,Kompl. adresy,Datum zkompl. Os. údaje,Kompl. přihlášky,Datum zkompl. celé přihl.,Kompl. údajů přihl.,Datum zkompl. Údaje o přihl.,KA - obec,KA - stát
54944,N-EGS,,Magisterský navazující,prezenční,10. 12. 2021 10:23,10.12.2021,750,750,ano,19.12.2021,19. 12. 2021 21:59:42,10. 12. 2021 12:09:06,ano,10. 12. 2021 12:06:00,ano,19. 12. 2021 21:59:42,ano,10. 12. 2021 10:26:18,lagos,Ostatní
54649,N-LPA,,Magisterský navazující,prezenční,05. 12. 2021 19:57,06.12.2021,750,750,ano,06.12.2021,06. 12. 2021 21:54:33,06. 12. 2021 18:39:23,ano,06. 12. 2021 18:33:04,ano,06. 12. 2021 21:54:33,ano,05. 12. 2021 19:58:50,"Rouiba , Algiers, Algeria",Alžírská lidová demokratická republika
52519,B-BEE,,Bakalářský,prezenční,03. 10. 2021 12:20,,750,0,ne,,,03. 10. 2021 12:50:11,ano,,ne,,ano,03. 10. 2021 12:25:13,Durbawa Kware sokoto Nigeria,Nigérijská federativní republika
52785,N-EGS,,Magisterský navazující,prezenční,19. 10. 2021 20:49,,750,0,ne,,,,ne,,ne,,ano,19. 10. 2021 20:52:13,,
53792,N-ENVA,,Magisterský navazující,prezenční,22. 11. 2021 12:40,22.11.2021,750,0,ne,,,22. 11. 2021 12:36:22,ano,22. 11. 2021 12:40:38,ne,,ano,22. 11. 2021 12:40:38,"Salehpat, Sukkur",Pákistánská islámská republika
52848,N-ENVA,,Magisterský navazující,prezenční,23. 10. 2021 04:01,16.12.2021,750,750,ano,17.12.2021,04. 01. 2022 03:01:35,07. 11. 2021 17:44:40,ano,07. 11. 2021 17:37:06,ano,04. 01. 2022 03:01:36,ano,24. 10. 2021 22:19:41,erbil,Irácká republika
56425,N-ENVA,,Magisterský navazující,prezenční,02. 01. 2022 23:24,03.01.2022,750,0,ne,,,03. 01. 2022 00:18:08,ano,03. 01. 2022 00:04:00,ne,,ano,02. 01. 2022 23:32:04,Chlef,Alžírská lidová demokratická republika
56415,N-NCO,,Magisterský navazující,prezenční,02. 01. 2022 20:42,,750,0,ne,,,02. 01. 2022 21:38:00,ano,02. 01. 2022 21:13:45,ne,,ano,02. 01. 2022 20:44:53,BLIDA,Alžírská lidová demokratická republika
55167,B-BEDS,,Bakalářský,prezenční,13. 12. 2021 15:26,13.12.2021,750,0,ne,,,13. 12. 2021 21:41:28,ano,13. 12. 2021 21:11:47,ne,,ano,13. 12. 2021 15:46:31,beni messous,Alžírská lidová demokratická republika
55974,B-BEE,,Bakalářský,prezenční,27. 12. 2021 10:13,27.12.2021,750,0,ne,,,13. 12. 2021 21:41:28,ano,27. 12. 2021 10:13:02,ne,,ano,27. 12. 2021 10:13:02,beni messous,Alžírská lidová demokratická republika
55776,N-ENVA,,Magisterský navazující,prezenční,22. 12. 2021 15:00,26.12.2021,750,750,ano,26.12.2021,26. 12. 2021 13:27:19,24. 12. 2021 14:26:25,ano,24. 12. 2021 14:34:36,ano,26. 12. 2021 13:27:19,ano,24. 12. 2021 14:09:49,Praha,Česká republika
52688,B-BEE,,Bakalářský,prezenční,12. 10. 2021 09:05,14.10.2021,750,750,ano,20.10.2021,20. 10. 2021 20:19:27,14. 10. 2021 09:20:09,ano,12. 10. 2021 09:31:28,ano,20. 10. 2021 20:19:27,ano,12. 10. 2021 09:09:39,Canal view lahore,Pákistánská islámská republika
53223,B-BEDS,,Bakalářský,prezenční,12. 11. 2021 16:29,13.11.2021,750,750,ano,16.11.2021,16. 11. 2021 20:05:16,08. 12. 2020 01:56:29,ano,12. 11. 2021 16:29:23,ano,16. 11. 2021 20:05:17,ano,12. 11. 2021 16:29:23,Bauchi State,Nigérijská federativní republika
53303,N-EGS,,Magisterský navazující,prezenční,14. 11. 2021 14:12,16.12.2021,750,750,ano,23.12.2021,23. 12. 2021 23:31:25,20. 02. 2021 11:38:59,ano,14. 11. 2021 14:12:25,ano,23. 12. 2021 23:31:26,ano,14. 11. 2021 14:12:25,Kaduna,Nigérijská federativní republika
56266,B-BEDS,,Bakalářský,prezenční,01. 01. 2022 03:13,,750,0,ne,,,,ne,,ne,,ne,,,
52606,N-EGS,,Magisterský navazující,prezenční,07. 10. 2021 17:35,11.10.2021,750,750,ano,12.10.2021,12. 10. 2021 21:41:49,07. 10. 2021 17:46:41,ano,07. 10. 2021 17:41:25,ano,12. 10. 2021 21:41:49,ano,07. 10. 2021 17:36:44,Madina,Ghanská republika
52472,N-LPA,,Magisterský navazující,prezenční,01. 10. 2021 04:42,01.10.2021,750,500,ano,01.10.2021,01. 10. 2021 12:06:34,01. 10. 2021 04:56:26,ano,01. 10. 2021 04:51:12,ano,01. 10. 2021 12:06:34,ano,01. 10. 2021 04:44:23,No.6 dongli district,Čínská lidová republika
54082,N-EGS,,Magisterský navazující,prezenční,27. 11. 2021 10:34,27.11.2021,750,0,ne,,,27. 11. 2021 10:34:14,ano,27. 11. 2021 10:47:29,ne,,ano,27. 11. 2021 10:34:14,DORMAA AHENKRO,Ghanská republika
55436,B-BEE,,Bakalářský,prezenční,17. 12. 2021 12:20,,750,0,ne,,,,ne,,ne,,ano,17. 12. 2021 12:20:13,,
52621,N-NCO,,Magisterský navazující,prezenční,08. 10. 2021 08:16,,750,0,ne,,,,ne,,ne,,ano,08. 10. 2021 08:45:37,,
52748,N-EGS,,Magisterský navazující,prezenční,16. 10. 2021 06:33,28.12.2021,750,0,ne,,,31. 01. 2021 19:36:36,ano,16. 10. 2021 06:33:54,ne,,ano,16. 10. 2021 06:33:54,"Jos South, Plateau State, Nigeria",Nigérijská federativní republika
53160,N-NCO,,Magisterský navazující,prezenční,10. 11. 2021 23:24,,750,0,ne,,,,ne,,ne,,ano,10. 11. 2021 23:28:24,,
53814,N-ENVA,,Magisterský navazující,prezenční,22. 11. 2021 16:15,,750,0,ne,,,28. 11. 2021 22:48:15,ano,,ne,,ano,28. 11. 2021 22:39:56,"Lekki, Lagos",Nigérijská federativní republika
52705,B-BEDS,,Bakalářský,prezenční,13. 10. 2021 09:51,13.10.2021,750,0,ne,,,13. 10. 2021 10:05:28,ano,13. 10. 2021 10:03:04,ne,,ano,13. 10. 2021 09:52:41,Lagos,Nigérijská federativní republika
52744,B-BEE,,Bakalářský,prezenční,15. 10. 2021 23:42,15.10.2021,750,750,ano,27.11.2021,27. 11. 2021 00:23:24,15. 10. 2021 23:51:38,ano,15. 10. 2021 23:49:12,ano,27. 11. 2021 00:23:25,ano,15. 10. 2021 23:43:56,Sango otta ogun state,Nigérijská federativní republika
52745,B-BEDS,,Bakalářský,prezenční,15. 10. 2021 23:58,15.10.2021,750,0,ne,,,15. 10. 2021 23:51:38,ano,15. 10. 2021 23:58:06,ne,,ano,15. 10. 2021 23:58:07,Sango otta ogun state,Nigérijská federativní republika
54757,N-ENVA,,Magisterský navazující,prezenční,07. 12. 2021 12:15,07.12.2021,750,0,ne,,,07. 12. 2021 12:27:28,ano,07. 12. 2021 12:24:03,ne,,ano,07. 12. 2021 12:16:18,Fct-Abuja,Nigérijská federativní republika
54515,B-BEDS,,Bakalářský,prezenční,03. 12. 2021 13:44,03.12.2021,750,750,ano,03.12.2021,03. 12. 2021 20:40:33,03. 12. 2021 13:56:23,ano,03. 12. 2021 14:03:01,ano,03. 12. 2021 20:40:33,ano,03. 12. 2021 13:49:41,Ifako Ijaiye,Nigérijská federativní republika
52781,B-BEE,,Bakalářský,prezenční,19. 10. 2021 14:32,23.10.2021,750,750,ano,23.10.2021,23. 10. 2021 11:50:05,19. 10. 2021 15:09:24,ano,19. 10. 2021 14:51:13,ano,23. 10. 2021 11:50:06,ano,19. 10. 2021 14:34:36,Ikorodu Lagos State,Nigérijská federativní republika
55193,N-EGS,,Magisterský navazující,prezenční,13. 12. 2021 19:49,13.12.2021,750,0,ne,,,13. 12. 2020 18:36:50,ano,13. 12. 2021 19:49:08,ne,,ano,13. 12. 2021 19:49:08,"Mamprobi, Accra",Ghanská republika
54641,N-LPA,,Magisterský navazující,prezenční,05. 12. 2021 16:46,,750,0,ne,,,06. 11. 2020 21:43:01,ano,05. 12. 2021 16:46:18,ne,,ano,05. 12. 2021 16:46:18,LAGHOUAT,Alžírská lidová demokratická republika
52765,N-EGS,,Magisterský navazující,prezenční,18. 10. 2021 11:25,,750,0,ne,,,,ne,,ne,,ano,18. 10. 2021 11:27:31,,
52581,B-BEE,,Bakalářský,prezenční,06. 10. 2021 05:02,,750,0,ne,,,11. 02. 2021 19:53:08,ano,,ne,,ano,06. 10. 2021 05:02:47,Sargodha,Pákistánská islámská republika
55670,B-BEE,,Bakalářský,prezenční,20. 12. 2021 22:23,21.12.2021,750,750,ano,21.12.2021,21. 12. 2021 19:49:05,12. 01. 2021 21:50:28,ano,20. 12. 2021 22:23:38,ano,21. 12. 2021 19:49:05,ano,20. 12. 2021 22:23:38,Dhaka,Bangladéšská lidová republika
53231,N-EGS,,Magisterský navazující,prezenční,12. 11. 2021 18:08,,750,0,ne,,,16. 11. 2021 04:24:15,ano,16. 11. 2021 04:20:39,ne,,ano,12. 11. 2021 18:10:20,Ankpa,Ostatní
53433,N-EGS,,Magisterský navazující,prezenční,16. 11. 2021 16:49,,750,0,ne,,,16. 11. 2021 17:09:09,ano,16. 11. 2021 17:02:54,ne,,ano,16. 11. 2021 16:51:02,lokoja,Ostatní
53885,B-BEE,,Bakalářský,prezenční,23. 11. 2021 14:56,23.11.2021,750,0,ne,,,23. 11. 2021 15:25:44,ano,23. 11. 2021 15:20:05,ne,,ano,23. 11. 2021 15:03:41,IBADAN,Nigérijská federativní republika
52902,N-EGS,,Magisterský navazující,prezenční,27. 10. 2021 19:15,29.10.2021,750,735.46,ano,03.11.2021,30. 11. 2021 03:01:23,28. 10. 2021 12:19:17,ano,28. 10. 2021 12:13:50,ano,30. 11. 2021 03:01:24,ano,27. 10. 2021 19:43:52,buea,Kamerunská republika
52671,N-LPA,,Magisterský navazující,prezenční,11. 10. 2021 15:06,,750,0,ne,,,11. 10. 2021 15:18:40,ano,11. 10. 2021 15:14:58,ne,,ano,11. 10. 2021 15:07:34,Ashaiman,Ghanská republika
52508,N-EGS,,Magisterský navazující,prezenční,02. 10. 2021 16:19,,750,0,ne,,,,ne,,ne,,ne,,,
56514,B-BEE,,Bakalářský,prezenční,03. 01. 2022 17:24,,750,0,ne,,,,ne,,ne,,ne,,,
52849,N-NCO,,Magisterský navazující,prezenční,23. 10. 2021 05:37,23.12.2021,750,0,ne,,,17. 10. 2021 16:50:06,ano,23. 10. 2021 05:37:38,ne,,ano,23. 10. 2021 05:37:38,ABUAKWA- KUMASI,Ghanská republika
55644,N-NCO,,Magisterský navazující,prezenční,20. 12. 2021 16:27,,750,0,ne,,,20. 12. 2021 17:50:25,ano,20. 12. 2021 17:34:02,ne,,ano,20. 12. 2021 16:32:05,"27 Amidu jimoh off governors road ikotun Lagos state, Nigeria.",Nigérijská federativní republika
56649,N-LPA,,Magisterský navazující,prezenční,04. 01. 2022 13:54,04.01.2022,750,750,ano,04.01.2022,04. 01. 2022 16:33:41,04. 01. 2022 16:26:42,ano,04. 01. 2022 16:25:38,ano,04. 01. 2022 16:33:41,ano,04. 01. 2022 13:55:16,Accra,Ghanská republika
53715,B-BEDS,,Bakalářský,prezenční,21. 11. 2021 11:09,21.11.2021,750,750,ano,22.11.2021,24. 11. 2021 05:45:47,21. 11. 2021 11:19:53,ano,21. 11. 2021 11:17:36,ano,24. 11. 2021 05:45:50,ano,21. 11. 2021 11:11:18,Uralsk,Republika Kazachstán
53515,B-BEE,,Bakalářský,prezenční,18. 11. 2021 13:20,,750,0,ne,,,26. 02. 2021 08:48:42,ano,18. 11. 2021 13:20:14,ne,,ano,18. 11. 2021 13:20:15,Brno,Česká republika
52934,N-LPA,,Magisterský navazující,prezenční,30. 10. 2021 06:39,30.10.2021,750,0,ne,,,27. 01. 2021 06:42:04,ano,30. 10. 2021 06:39:48,ne,,ano,30. 10. 2021 06:39:48,Tehran,Íránská islámská republika
53178,B-BEE,,Bakalářský,prezenční,11. 11. 2021 14:57,,750,0,ne,,,15. 02. 2020 13:07:34,ano,11. 11. 2021 14:57:37,ne,,ano,11. 11. 2021 14:57:37,Ortahisar/Trabzon,Turecká republika
54281,B-BEE,,Bakalářský,prezenční,30. 11. 2021 18:39,,750,0,ne,,,,ne,,ne,,ano,30. 11. 2021 18:40:44,,
54284,B-BEDS,,Bakalářský,prezenční,30. 11. 2021 18:55,,750,0,ne,,,,ne,,ne,,ano,30. 11. 2021 18:55:21,,
53371,N-NCO,,Magisterský navazující,prezenční,15. 11. 2021 15:25,,750,0,ne,,,,ne,,ne,,ano,15. 11. 2021 15:26:55,,
53498,N-LPA,,Magisterský navazující,prezenční,18. 11. 2021 07:12,,750,0,ne,,,24. 03. 2021 09:46:17,ano,18. 11. 2021 07:12:50,ne,,ano,18. 11. 2021 07:12:51,Port Harcourt,Nigérijská federativní republika
55613,N-EGS,,Magisterský navazující,prezenční,20. 12. 2021 11:51,20.12.2021,750,0,ne,,,20. 12. 2021 12:04:31,ano,20. 12. 2021 12:02:47,ne,,ano,20. 12. 2021 11:53:42,Akure,Ostatní
55083,B-BEE,,Bakalářský,prezenční,12. 12. 2021 13:36,,750,0,ne,,,12. 12. 2021 13:20:17,ano,12. 12. 2021 13:36:05,ne,,ano,12. 12. 2021 13:36:06,Lagos State,Nigérijská federativní republika
55080,B-BEDS,,Bakalářský,prezenční,12. 12. 2021 13:22,,750,0,ne,,,12. 12. 2021 13:20:17,ano,12. 12. 2021 13:22:19,ne,,ano,12. 12. 2021 13:22:19,Lagos State,Nigérijská federativní republika
52825,N-EGS,,Magisterský navazující,prezenční,22. 10. 2021 12:55,08.11.2021,750,0,ne,,,22. 10. 2021 13:17:13,ano,08. 11. 2021 05:53:10,ne,,ano,22. 10. 2021 13:06:31,Abuja,Ostatní
55334,N-LPA,,Magisterský navazující,prezenční,15. 12. 2021 18:07,,750,0,ne,,,,ne,,ne,,ano,15. 12. 2021 18:22:41,,
52982,N-EGS,,Magisterský navazující,prezenční,02. 11. 2021 13:22,03.01.2022,750,0,ne,,,12. 04. 2021 15:51:47,ano,02. 11. 2021 13:22:36,ne,,ano,02. 11. 2021 13:22:36,Nigeria,Ostatní
53095,B-BEE,,Bakalářský,prezenční,08. 11. 2021 14:03,,750,0,ne,,,09. 11. 2021 19:52:53,ano,09. 11. 2021 19:49:46,ne,,ano,08. 11. 2021 14:04:35,Makurdi,Nigérijská federativní republika
55944,B-BEE,,Bakalářský,prezenční,26. 12. 2021 14:53,,750,0,ne,,,,ne,,ne,,ano,26. 12. 2021 14:54:00,,
52627,N-ENVA,,Magisterský navazující,prezenční,08. 10. 2021 20:16,08.10.2021,750,0,ne,,,08. 10. 2021 20:25:25,ano,08. 10. 2021 20:24:17,ne,,ano,08. 10. 2021 20:17:17,Kuantan,Malajsie
53423,B-BEDS,,Bakalářský,prezenční,16. 11. 2021 14:50,26.11.2021,750,750,ano,26.11.2021,26. 11. 2021 15:30:06,26. 11. 2021 14:58:55,ano,26. 11. 2021 14:52:48,ano,26. 11. 2021 15:30:07,ano,16. 11. 2021 14:52:22,Chereponi,Ghanská republika
52487,B-BEDS,,Bakalářský,prezenční,01. 10. 2021 17:20,01.10.2021,750,0,ne,,,01. 10. 2021 17:50:57,ano,01. 10. 2021 17:48:01,ne,,ano,01. 10. 2021 17:25:14,Malir Town,Ostatní
52957,N-ENVA,,Magisterský navazující,prezenční,01. 11. 2021 18:07,01.11.2021,750,0,ne,,,01. 11. 2021 18:11:52,ano,01. 11. 2021 18:10:38,ne,,ano,01. 11. 2021 18:08:00,Multan,Pákistánská islámská republika
52998,N-ENVA,,Magisterský navazující,prezenční,03. 11. 2021 05:01,03.11.2021,750,750,ano,03.11.2021,03. 11. 2021 05:53:20,03. 11. 2021 05:33:09,ano,03. 11. 2021 05:28:22,ano,03. 11. 2021 05:53:21,ano,03. 11. 2021 05:05:14,Port Harcourt,Ostatní
52941,B-BEE,,Bakalářský,prezenční,30. 10. 2021 23:30,31.10.2021,750,750,ano,01.11.2021,03. 11. 2021 05:45:53,31. 10. 2021 03:08:21,ano,31. 10. 2021 03:00:16,ano,03. 11. 2021 05:45:56,ano,31. 10. 2021 02:32:00,Praha,Česká republika
56343,B-BEDS,,Bakalářský,prezenční,02. 01. 2022 11:36,02.01.2022,750,0,ne,,,02. 01. 2022 12:07:31,ano,02. 01. 2022 12:03:51,ne,,ano,02. 01. 2022 11:37:12,Karaj,Íránská islámská republika
52539,N-NCO,,Magisterský navazující,prezenční,04. 10. 2021 06:01,07.10.2021,750,0,ne,,,07. 10. 2021 05:44:05,ano,07. 10. 2021 05:40:44,ne,,ano,04. 10. 2021 06:01:34,delhi,Indická republika
52720,N-LPA,,Magisterský navazující,prezenční,14. 10. 2021 14:29,19.10.2021,750,750,ano,02.12.2021,02. 12. 2021 08:09:07,14. 10. 2021 14:57:33,ano,14. 10. 2021 14:53:31,ano,02. 12. 2021 08:09:08,ano,14. 10. 2021 14:31:13,TANOSO KUMASI,Ghanská republika
52886,N-ENVA,,Magisterský navazující,prezenční,26. 10. 2021 20:15,,750,0,ne,,,11. 11. 2021 15:08:51,ano,11. 11. 2021 13:45:48,ne,,ano,26. 10. 2021 20:27:38,Nanjing,Čínská lidová republika
53834,N-EGS,,Magisterský navazující,prezenční,22. 11. 2021 21:39,22.11.2021,750,0,ne,,,22. 11. 2021 21:50:05,ano,22. 11. 2021 21:47:44,ne,,ano,22. 11. 2021 21:41:06,Alexandria,Egyptská arabská republika
53919,N-NCO,,Magisterský navazující,prezenční,24. 11. 2021 12:44,,750,0,ne,,,,ne,24. 11. 2021 13:28:45,ne,,ano,24. 11. 2021 12:45:55,,
52907,N-NCO,,Magisterský navazující,prezenční,28. 10. 2021 02:32,,750,0,ne,,,,ne,,ne,,ano,28. 10. 2021 02:34:09,,
52963,N-NCO,,Magisterský navazující,prezenční,02. 11. 2021 01:40,,750,0,ne,,,02. 11. 2021 02:10:24,ano,02. 11. 2021 02:07:20,ne,,ano,02. 11. 2021 01:41:52,Owerri,Ostatní
52806,N-NCO,,Magisterský navazující,prezenční,21. 10. 2021 13:19,,750,0,ne,,,21. 10. 2021 21:04:40,ano,21. 10. 2021 20:54:03,ne,,ano,21. 10. 2021 15:50:54,"Cape Coast, Central Region",Ghanská republika
53923,B-BEE,,Bakalářský,prezenční,24. 11. 2021 13:15,24.11.2021,750,0,ne,,,24. 11. 2021 12:58:31,ano,24. 11. 2021 13:15:15,ne,,ano,24. 11. 2021 13:15:15,Las Piñas City,Filipínská republika
53924,B-BEDS,,Bakalářský,prezenční,24. 11. 2021 13:15,24.11.2021,750,0,ne,,,24. 11. 2021 12:58:31,ano,24. 11. 2021 13:15:32,ne,,ano,24. 11. 2021 13:15:33,Las Piñas City,Filipínská republika
52641,N-EGS,,Magisterský navazující,prezenční,09. 10. 2021 17:02,09.10.2021,750,0,ne,,,09. 10. 2021 17:19:28,ano,09. 10. 2021 17:13:20,ne,,ano,09. 10. 2021 17:04:15,Ashanti Region,Ghanská republika
52676,N-ENVA,,Magisterský navazující,prezenční,11. 10. 2021 19:45,11.10.2021,750,0,ne,,,09. 10. 2021 17:19:28,ano,11. 10. 2021 19:45:33,ne,,ano,11. 10. 2021 19:45:34,Ashanti Region,Ghanská republika
53731,N-NCO,,Magisterský navazující,prezenční,21. 11. 2021 18:12,19.12.2021,750,750,ano,19.12.2021,19. 12. 2021 14:55:30,30. 11. 2021 20:38:02,ano,21. 11. 2021 19:09:50,ano,19. 12. 2021 14:55:30,ano,21. 11. 2021 18:20:08,"Egbeda,Lagos",Nigérijská federativní republika
55802,N-NCO,,Magisterský navazující,prezenční,23. 12. 2021 03:27,,750,0,ne,,,01. 12. 2020 01:13:18,ano,23. 12. 2021 03:27:33,ne,,ano,23. 12. 2021 03:27:33,Kumasi,Ghanská republika
52922,N-NCO,,Magisterský navazující,prezenční,29. 10. 2021 03:28,,750,0,ne,,,,ne,,ne,,ano,14. 12. 2021 14:35:08,,
52923,N-NCO,,Magisterský navazující,prezenční,29. 10. 2021 03:28,29.10.2021,750,750,ano,01.11.2021,01. 11. 2021 12:16:00,29. 10. 2021 03:53:08,ano,29. 10. 2021 03:42:48,ano,01. 11. 2021 12:16:01,ano,29. 10. 2021 03:31:42,bibiani,Ghanská republika
55453,N-NCO,,Magisterský navazující,prezenční,17. 12. 2021 16:05,18.12.2021,750,750,ano,18.12.2021,18. 12. 2021 17:56:35,18. 12. 2021 17:43:01,ano,18. 12. 2021 17:38:01,ano,18. 12. 2021 17:56:36,ano,18. 12. 2021 17:27:04,Abuja Nigeria,Ostatní
55514,B-BEE,,Bakalářský,prezenční,18. 12. 2021 18:08,18.12.2021,750,0,ne,,,18. 12. 2021 17:43:01,ano,18. 12. 2021 18:11:52,ne,,ano,18. 12. 2021 18:08:52,Abuja Nigeria,Ostatní
55796,B-BEE,,Bakalářský,prezenční,23. 12. 2021 01:26,,750,0,ne,,,,ne,,ne,,ne,,,
55797,B-BEE,,Bakalářský,prezenční,23. 12. 2021 01:27,25.12.2021,750,0,ne,,,23. 12. 2021 02:05:44,ano,23. 12. 2021 01:44:11,ne,,ano,23. 12. 2021 01:28:12,"2 Prudent, Street.",Ghanská republika
55799,B-BEE,,Bakalářský,prezenční,23. 12. 2021 02:00,,750,0,ne,,,,ne,,ne,,ne,,,
53705,B-BEDS,,Bakalářský,prezenční,21. 11. 2021 02:38,21.11.2021,750,750,ano,02.12.2021,02. 12. 2021 23:39:53,21. 11. 2021 02:46:05,ano,21. 11. 2021 02:43:36,ano,02. 12. 2021 23:39:53,ano,21. 11. 2021 02:39:23,St. Petersburg,Ruská federace
56469,N-ENVA,,Magisterský navazující,prezenční,03. 01. 2022 11:27,03.01.2022,750,750,ano,03.01.2022,03. 01. 2022 19:46:27,03. 01. 2022 19:35:23,ano,03. 01. 2022 19:24:09,ano,03. 01. 2022 19:46:27,ano,03. 01. 2022 18:51:32,"P. O. BOX 5, KOKOFU-ADWUMAM- A/R.",Ghanská republika
52815,B-BEDS,,Bakalářský,prezenční,22. 10. 2021 01:12,,750,0,ne,,,,ne,,ne,,ano,22. 10. 2021 01:14:34,,
52685,B-BEE,,Bakalářský,prezenční,12. 10. 2021 07:45,,750,0,ne,,,,ne,,ne,,ne,,,
52686,B-BEE,,Bakalářský,prezenční,12. 10. 2021 07:45,,750,0,ne,,,,ne,,ne,,ano,12. 10. 2021 07:47:29,,
52512,N-EGS,,Magisterský navazující,prezenční,02. 10. 2021 22:13,02.10.2021,750,0,ne,,,02. 10. 2021 22:29:21,ano,02. 10. 2021 22:26:28,ne,,ano,02. 10. 2021 22:13:52,iloin,Ostatní
52513,B-BEE,,Bakalářský,prezenční,02. 10. 2021 22:40,,750,0,ne,,,02. 10. 2021 22:29:21,ano,,ne,,ano,02. 10. 2021 22:40:52,iloin,Ostatní
52657,N-ENVA,,Magisterský navazující,prezenční,10. 10. 2021 14:32,10.10.2021,750,0,ne,,,10. 10. 2021 23:06:34,ano,10. 10. 2021 23:04:53,ne,,ano,10. 10. 2021 14:36:18,accra,Ghanská republika
52913,N-LPA,,Magisterský navazující,prezenční,28. 10. 2021 14:39,,750,0,ne,,,,ne,,ne,,ano,28. 10. 2021 14:44:09,,
53301,N-EGS,,Magisterský navazující,prezenční,14. 11. 2021 13:48,14.11.2021,750,0,ne,,,14. 11. 2021 14:34:50,ano,14. 11. 2021 14:25:23,ne,,ano,14. 11. 2021 13:50:40,"FCT, Abuja",Nigérijská federativní republika
53543,B-BEE,,Bakalářský,prezenční,19. 11. 2021 00:26,19.11.2021,750,750,ano,15.12.2021,15. 12. 2021 14:02:59,09. 11. 2021 20:40:18,ano,19. 11. 2021 00:26:19,ano,15. 12. 2021 14:02:59,ano,19. 11. 2021 00:26:20,Accra,Ghanská republika
54078,B-BEDS,,Bakalářský,prezenční,27. 11. 2021 09:02,,750,0,ne,,,,ne,,ne,,ano,27. 11. 2021 09:10:38,,
